№,Питання,A,B,C,D,Правильна
1,Які головні фактори слід враховувати під час вибору операційної системи для вбудованих систем реального часу?,Відмінності у структурі файлової системи,Тип планування завдань та обробки переривань,Методи оптимізації швидкодії апаратного забезпечення,Можливості віддаленого адміністрування через мережу,B
2,"Яку з перелічених мов програмування використовують як для процедурного, так і для об’єктно-орієнтованого програмування?",Java,Python,APL,Сі,B
3,Чим відрізняється функція операційної системи Linux SIGKILL від SIGTERM?,"SIGKILL примусово завершує процес, тоді як SIGTERM дає змогу процесу коректно завершитися","SIGKILL зупиняє процес на паузу, SIGTERM вимикає його","SIGKILL відправляє процес у сплячий режим, SIGTERM відновлює його",SIGKILL та SIGTERM виконують одне й те саме,A
4,"Як в об’єктно-орієнтованому програмуванні називається концепція, головною метою якої є зменшення складності за рахунок приховування непотрібних деталей від користувача?",Абстракція,Інкапсуляція,Поліморфізм,Спадкування,A
5,"У нотації класів UML-діаграм клас зображують як прямокутник з горизонтальними секціями. Яка з цих секцій, починаючи відлік згори, призначена для методів (функцій та операцій) класу?",Перша,Друга,Третя,Четверта,C
6,"На якому етапі життєвого циклу програмного забезпечення (SDLC) предметна область декомпозується на окремі об’єкти або на компоненти (за компонентного проєктування), а програма ‒ на функціональні компоненти?",Планування (Planning),Дизайн (Design),Аналіз вимог (Analysis),Розробка (Coding),B
7,Вкажіть основні характеристики файлу?,"Ім’я, розмір, тип даних, дата створення та модифікації","Ім’я, тип процесора, оперативна пам’ять, обсяг жорсткого диска","Ім’я, пароль, доступні права, дата останнього доступу","Ім’я, розширення, тип файлу, дата архівування",A
8,Яка із вказаних мережних технологій базується на використанні силових електромереж для високошвидкісного інформаційного обміну?,Low Power Short Range Networks,Low Power Wide Area Networks,Power Line Communication Networks,Нigh-voltage Еlectrical Networks,C
9,"У базі планується зберігати дані про студентів, дисципліни, які вивчають студенти, та оцінки студентів з дисциплін. З кожної дисципліни студент може мати одну оцінку або не мати жодної. Яка із запропонованих ER-діаграм у нотації crow’s foot є коректною і найповнішою моделлю описаних даних?",1,2,3,4,A
10,Який засіб застосовується для виявлення шкідливого програмного забезпечення у мережному трафіку?,Firewall,IPS,VPN-concentrator,WLC,B
11,В якій операційній системі буде правильним запис шляху до файлу у вигляді \Бібліотека\Зображення\Image.jpeg?,MacOS,Windows,Linux,Android,B
12,Для чого призначений драйвер пристрою?,Забезпечення «взаємодії» операційної системи з апаратним пристроєм,Перекладу команди операційної системи на мову машинного коду,Організації доступ до файлів на жорсткому диску,Контролювання роботи мережних протоколів,A
13,Чому дорівнює границя  ?,Нескінченність,0,-1,1,B
14,Який із перелічених термінів стосується фізичного рівня організації файлової системи?,Індексний вузол,Метафайл,Атрибут,Блок,D
15,"Вкажіть порядок числа А =1011,01 для подальшого представлення його у 2 формі з рухомою комою в 32-розрядному форматі.",100,011,001,101,B
16,"Вкажіть формулу логістичної (сигмоїдної) функції активації, яка визначає вихідний сигнал нейрона.",1,2,3,4,A
17,До якого типу навчання належить метод k-найближчих сусідів (kNN)?,Навчання без учителя,Навчання з учителем,Навчання з підкріпленням,Напівконтрольоване навчання,B
18,Яка з властивостей є обов’язковою для маршрутної матриці у теорії графів?,Містить одиниці в головній діагоналі,Є обернено симетричною,Відображає усі можливі маршрути між вершинами графа,Може бути порожньою у ненапрямленому графі,C
19,Масив із 5 елементів зберігає неповторювані значення. Якою є кількість можливих комбінацій розташування елементів у масиві?,5,25,120,250,C
20,"У партії з 20 деталей 4 браковані. Яка ймовірність того, що навмання взята деталь буде стандартною?","0,8","0,25","0,5","0,2",A
21,Що означає еквіфінальність системи?,Здатність системи передбачити та запобігати внутрішнім і зовнішнім загрозам,Властивість системи ефективно виконувати свої функції протягом деякого часу,Здатність системи досягти кінцевого стану незалежно від часу та початкових умов,"Властивість системи, що полягає в наявності множини зв’язків між нею та зовнішнім середовищем.",C
22,"Яка характеристика роботи з інтерпретатором, порівняно з компілятором, є правильною?","Програми, написані інтерпретованою мовою, важче налагоджувати","Інтерпретатори не дають змогу автоматично керувати пам’яттю, що збільшує ризики помилок пам’яті",Швидкість виконання компільованої програми перевершує швидкість інтерпретованої програми,Інтерпретований код працює швидше порівняно зі скомпільованим кодом,C
23,"Дано відношення «Кіт» з атрибутами «ім’я», «стать», «вік», якому відповідають дві різні таблиці у деяких реляційних базах даних. У таблицях записи про котів вважаються однаковими, якщо збігаються значення усіх атрибутів. Які операції реляційної алгебри слід виконати у запиті до вказаних таблиць баз даних, щоб отримати значення атрибуту «ім’я» для усіх записів про котів, які є лише в одній таблиці?",Різницю та проєкцію,Проєкцію та вибірку,Перетин та вибірку,Вибірку та різницю,A
24,"Динаміку складних систем характеризують моделлю y(t) = R(x,z,t), де x, z – параметри системи, t – час, R – оператор системи, який діє на вхідну величину x(t) z(t). Складено рівняння, що описують деякі системи. Вкажіть рівняння нестаціонарної системи без пам’яті.",y(t) = R[x(t)],"y(t) = R[x(t), z]","y(t) = R[x(t), z(t)]","y(t) = R[x(t - Δt), z(t)]",C
25,Що відповідно до еталонної моделі взаємодії відкритих систем використовується для взаємодії між сусідніми рівнями системи?,Протоколи,Інтерфейси,Канали зв’язку,Лінії зв’язку,B
26,Які загрози інформаційній безпеці належать до класу «за характером дії на інформаційну систему»?,Загальні і локальні,Внутрішні і зовнішні,Активні і пасивні,Природні і штучні.,C
27,"Що відбудеться з пакетом даних у разі його передачі від одного комп’ютера до іншого, якщо комп’ютер-отримувач та комп’ютер-відправник розташовані в різних мережах (підмережах) складової мережі?",Пакет буде втрачено,Пакет буде відправлено до найближчого ресивера,Пакет буде відправлено до шлюзу за замовчуванням,Пакет буде повернуто до відправника,C
28,Яка класична абревіатура використовується для тлумачення структури даних «стек»?,LIFO,LILO,FIFO,FILO,A
29,Що називають кластеризацією у контексті операційних систем?,Об’єднання кількох комп’ютерів в єдину систему для розподілу навантаження,"Метод резервування даних, під час якого копія даних зберігається на кількох носіях",Програмне забезпечення для виявлення та виправлення помилок в операційній системі,Зниження навантаження на систему за рахунок відключення невикористовуваних служб,A
30,"Якщо згідно з методом пошуку у просторі станів рухаються від вихідних вершин до цільової вершини графа, спочатку аналізують структури на всіх вузлах одного рівня, а потім ‒ на вузлах наступних рівнів, то як має бути класифікований такий метод?",Прямий пошук в ширину,Прямий пошук в глибину,Зворотний пошук в ширину,Зворотний пошук в глибину,A
31,"Нехай х ‒ аргумент функції активації f(x) , c ‒ константа. Співставте назвам функцій активації штучного нейрона номери формул, якими вони визначаються.","Лінійна ‒ 1, порогова ‒ 4, сигмоїдна ‒ 3, радіально-базисна Гауса ‒ 2","Лінійна ‒ 2, порогова ‒ 3, сигмоїдна ‒ 1, радіально-базисна Гауса ‒ 4","Лінійна ‒ 3, порогова ‒ 2, сигмоїдна ‒ 4, радіально-базисна Гауса ‒ 1","Лінійна ‒ 4, порогова ‒ 1, сигмоїдна ‒ 2, радіально-базисна Гауса ‒  3.",A
32,Що таке Plug and Play (PnP) у контексті периферійних пристроїв?,Технологія для зберігання даних у хмарі,"Технологія, яка дає змогу підключати пристрої до комп’ютера з автоматичним встановленням драйверів.",Технологія для віддаленого керування пристроями,Технологія для підключення пристроїв через бездротову мережу,B
33,Що є однією з вимог до побудови відношення реляційної моделі бази даних?,Значення атрибутів у кортежах відношення мають бути атомарними,Порядок кортежів у інформаційному наповненні відношення має залежати від їх кількості.,Має бути встановлено обмеження на види фізичних моделей зберігання бази даних,Мають виконуватися транзакції між кортежами сусідніх рівнів відношення реляційної моделі бази даних.,A
34,Який із принципів НЕ використовується в методології Kanban?,Заохочення лідерства на всіх рівнях,Підтримка потокових процесів,Робота короткими відрізками,Постійне удосконалення процесу без різких змін,C
35,Яка з наведених груп комунікаційних технологій та протоколів використовується для передачі даних в середовищі інтернету речей?,"ZigBee, WiFi, PLC","Bluetooth, FTP, LoWPAN","IRC, ZigBee, WiFi","LoWPAN, PLC, IRC",A
36,Який із перелічених нижче патернів є структурним дизайн-патерном?,Singleton,Builder,Prototype,Bridge,D
37,"Відношення «Заголовки замовлень» містить атрибути «Код замовлення», «Код клієнта», «Назва клієнта», «Код співробітника», «Назва співробітника»,«Дата замовлення». Які з наведених атрибутів мають бути перенесені в інші відношення під час зведення відношення «Заголовки замовлень» до третьої нормальної форми (3NF)?",«Назва клієнта» та «Назва співробітника»,«Код клієнта» та «Код співробітника»,«Код замовлення» та «Дата замовлення»,«Код клієнта» та «Назва клієнта».,A
38,"Обчисліть границю , якщо вона існує.",0,3,3x^2,Границі не існує,C
39,"Якій моделі представлення знань відповідає твердження: «Якщо геометрична фігура має чотири прямі кути, а діагоналі чотирикутника перетинаються та діляться точкою перетину навпіл, то цей паралелограм є прямокутником»?",Логічна модель,Фреймова модель,Алгоритмічна модель,Продукційна модель,D
40,"Обчисліть суму двох двійкових чисел 10000111 та 00110110, представлених у доповнювальному коді розрядністю 8 біт.",-67,189,177,-79,A
41,Яким чином можна оптимізувати SQL-запит з WHERE?,"Створити індекси на стовпці, що використовуються в WHERE","Використовувати тільки SELECT *, щоб гарантувати, що будуть отримані всі дані.","Додати до запиту GROUP BY на стовпці, що використовують WHERE","Додати до запиту JOIN на стовпці, що використовують WHERE",A
42,Яка із зазначених форм кіберрозвідки є легальною за браком додаткових дозволів?,Візуальне спостереження технічними засобами,Копіювання інформації з обмеженим доступом,Проникнення на об’єкт критичної інфраструктури,Прослуховування розмов суб’єкта кіберрозвідки,A
43,Який мережний протокол стека TCP/IP встановлює з’єднання перед початком передавання даних?,TCP,UDP,IP,ICMP,A
44,Що передбачає водоспадна (каскадна) модель життєвого циклу ІТ-проєктів?,"Послідовне виконання етапів проєкту, без можливості повернення до життєвого циклу.","Розбивку проєкту на менші ітерації, кожна з яких включає всі етапи",Постійний випуск нових версій продукту,"Розбивку на короткі цикли, протягом яких команда розробників працює над невеликими ділянками функціоналу.",A
45,"Як називають вибірку даних, за якою будують модель на основі машинного навчання?",Навчальна вибірка,Тестова вибірка,Валідаційна вибірка,Контрольна вибірка,A
46,Що являє собою пошук рішень у просторі станів?,Побудову дерева пошуку на основі графів,"Визначення послідовності операторів, які відображають початкові стани в цільові",Задання кількості правил перетворення початкових даних у кінцевий результат,"Визначення функції, що вибирає наступний вузол, який підлягає",B
47,До якого етапу виконуються розбиття завдань на підзавдання у стратегії розроблення алгоритмів «розділяй та володарюй»?,Поки всі підзавдання не стануть елементарними,Поки не отримаємо відсортовану множину значень,Поки кількість підзавдань не збільшиться вдвічі,Поки не отримаємо оптимальний розв’язок,A
48,Яке з-поміж наведених тверджень є визначенням поняття «Кіберпростір» згідно із Законом України «Про основні засади забезпечення кібербезпеки України»?,"Середовище, яке надає можливості для здійснення комунікацій та/або реалізації суспільних відносин, утворене в результаті функціонування сумісних комунікаційних систем та забезпечення електронних комунікацій з використанням мережі «Інтернет» та/або інших глобальних мереж передачі даних. ","Організована сукупність об’єктів, створених з метою забезпечення надійності та безперебійності роботи державних інформаційних ресурсів, кіберзахисту, зберігання національних електронних інформаційних ресурсів, резервного копіювання інформації та відомостей національних електронних інформаційних ресурсів. ","Системи передавання, комутації або маршрутизації, обладнання та інші ресурси, що забезпечують електронні комунікації, у тому числі засоби і пристрої зв’язку, комп’ютери, інша комп’ютерна техніка, інформаційнотелекомунікаційні системи, які мають доступ до мережі «Інтернет» та/або інших глобальних мереж передачі даних. ","Автоматизована або автоматична система, яка є сукупністю обладнання, засобів, комплексів та систем обробки, передачі та приймання, призначена для організаційного управління технологічними процесами, незалежно від наявності доступу системи до мережі «Інтернет» та інших глобальних мереж передачі даних. ",A
49,На порушення якої властивості спрямовані DDoS-атаки?,Конфіденційність,Цілісність,Доступність,Спостережність,C
50,Для виконання яких дій під час побудови запиту до реляційної бази даних використовуються оператори мови SQL?,Додавання конкретних даних у базу даних і повернення результату обчислення. ,Побудови фільтра для значень даних бази даних і сортування результату,Класифікації значень даних у базі даних та повернення результату кластеризації. ,Маніпуляції над конкретними даними у базі даних та повернення результату обчислення. ,D
51,"Потрібно запрограмувати сховище даних – стек, членами класу якого є: //дані-члени; //конструктор; //деструктор та //функції-члени інтерфейсу стека Який опис відповідає деструктору класу?",1,2,3,4,B
52,Яке з наведених тверджень описує концепцію інкапсуляції в об’єктно- орієнтованому програмуванні та її вплив на розробку програмного забезпечення?,"Дає змогу класам наслідувати методи та властивості від кількох базових класів, забезпечуючи багаторазове використання коду. ","Обмежує доступ до внутрішніх даних об’єкта, надаючи доступ до них лише через визначені методи, що підвищує безпеку та надійність коду. ","Дає змогу об’єктам автоматично зв’язуватися один з одним, зменшуючи необхідність явного виклику методів. ","Забезпечує автоматичне видалення об’єктів з пам’яті після завершення їх використання, підвищуючи ефективність використання ресурсів. ",B
53,Яка основна перевага двобічнозв’язаних списків над однозв’язаними?,Займають менше пам’яті,Дають змогу двобічного обходу,Дають змогу швидко здійснювати операції вставлення та видалення елементів.  ,Мають простішу структуру,B
54,Який строк чинності наданого грифа секретності «особливої важливості»?,30 років,20 років,10 років,5 років,A
55,"Як називається двійкове дерево пошуку, в якому ліве та праве піддерево кожного вузла відрізняються за висотою щонайбільше на одну одиницю?",Дерево AVL,Червоно-чорне дерево,Дерево Фібоначчі,Просте двійкове дерево пошуку,A
56,Яким способом можна зобразити на площині планарний граф?,Без перетину ребер,Без перетину кратних ребер,Без перетину петель,Без перетину петель і кратних ребер,A
57,Задано функцію f(x) Визначте f'(x).,1,2,3,4,B
58,Що є головною відмінністю Гарвардської архітектури від інших архітектур?,Роздільне виконання операцій введення і виведення,Роздільне виконання процесором читання команди та читання/запису даних з/в пам’ять. ,Роздільне зберігання команд і даних у пам’яті,Роздільне зберігання у пам’яті операцій введення даних з різних пристроїв,C
59,Яке з наведених макровизначень є правильним?,Mac Macro a=1; b=a; cin>>a;  EndM,Test  cin>>a; b=a; c+=b; EndM,Test  a=1; b=a; cin>>c;  EndM,define  MyMacro  cin>>a; b=a; c+=b; EndM,A
60,"Який оператор SQL використовується для виконання операції об’єднання результатів двох або більше запитів у єдиний результат, виключаючи дублікати рядків?",UNION,INNER JOIN,OUTER JOIN,SELECT,A
61,"Множина А містить 5 елементів, а множина В – 8 елементів. Скільки елементів може містити різниця множин В\А?",Від 3 до 8 елементів,Від 0 до 5 елементів,Від 0 до 8 елементів,Від 3 до 13 елементів,A
62,Що називають базисом числа у позиційній системі числення?,"Найбільше число, яке можна виразити",Кількість символів у системі числення,Розряд числа,Вага кожного розряду,B
63,Яку характеристику операційної системи називають відмовостійкістю?,Коректно працювати протягом передбачуваного періоду часу,Вчасно і стабільно реагувати на запити користувача,Захищати від загроз власну цілісність та цілісність даних,Продовжувати коректну роботу після помилок,D
64,Що в об’єктно-орієнтованому програмуванні дає змогу забезпечити динамічну поведінку об'єктів та є ключовим для реалізації поліморфізму?,Функції вищого порядку (Higher-Order Functions),Статична типізація (Static Typing),Віртуальні функції та методи (Virtual Functions and Methods),Глобальні змінні та константи (Global Variables and Constants),C
65,"Яку залежність має час передачі повідомлення між абонентами від кількості комутаторів на шляху прямування між ними у мережі з комутацією каналів за умови, що перед початком передачі повідомлення між абонентами вже сформовано канал?",Лінійну,Квадратичну,Експоненційну,Ніяк не залежить,D
66,Якому з наведених нижче алгоритмів сортування масиву відповідає часова асимптотична складність n•log(n) у найгіршому випадку?,Бульбашкове сортування,Сортування вибором,Сортування вставкою,Сортування злиттям,D
67,Яким є еквівалент десяткової цифри 9 у двійковій системі числення?,0014,1001,0102,000А,B
68,Яку кількість станів передбачає модель SI поширення комп’ютерно- мережевого інфікування.,0,3,1,2,D
